Reflecting Week Ended,Sum of Unemployment Assistance Rate (Insured Unemployment Rate),forecastValue,confidenceHighBound,confidenceLowBound
2019-12-07 00:00:00,1.46,,,
2019-12-14 00:00:00,1.48,,,
2019-12-21 00:00:00,1.51,,,
2019-12-28 00:00:00,1.94,,,
2020-01-04 00:00:00,1.96,,,
2020-01-11 00:00:00,1.75,,,
2020-01-18 00:00:00,1.75,,,
2020-01-25 00:00:00,1.77,,,
2020-02-01 00:00:00,1.74,,,
2020-02-08 00:00:00,1.75,,,
2020-02-15 00:00:00,1.74,,,
2020-02-22 00:00:00,1.95,,,
2020-02-29 00:00:00,1.73,,,
2020-03-07 00:00:00,1.69,,,
2020-03-14 00:00:00,1.78,,,
2020-03-21 00:00:00,3.35,,,
2020-03-28 00:00:00,7.6,,,
2020-04-04 00:00:00,11.92,,,
2020-04-11 00:00:00,14.4,,,
2020-04-18 00:00:00,17.18,,,
2020-04-25 00:00:00,18.6,,,
2020-05-02 00:00:00,19.62,,,
2020-05-09 00:00:00,22.78,,,
2020-05-16 00:00:00,21.35,,,
2020-05-23 00:00:00,19.12,,,
2020-05-30 00:00:00,23.43,,,
2020-06-06 00:00:00,20.82,,,
2020-06-13 00:00:00,19.53,,,
2020-06-20 00:00:00,18.31,,,
2020-06-27 00:00:00,18.2,,,
2020-07-04 00:00:00,17.09,,,
2020-07-11 00:00:00,17.13,,,
2020-07-18 00:00:00,17.34,,,
2020-07-25 00:00:00,17.59,,,
2020-08-01 00:00:00,16.11,,,
2020-08-08 00:00:00,15.44,,,
2020-08-15 00:00:00,15.15,,,
2020-08-22 00:00:00,14.92,,,
2020-08-29 00:00:00,14.97,,,
2020-09-05 00:00:00,13.7,,,
2020-09-12 00:00:00,13.73,,,
2020-09-19 00:00:00,11.1,,,
2020-09-26 00:00:00,10.01,,,
2020-10-03 00:00:00,7.66,,,
2020-10-10 00:00:00,6.52,,,
2020-10-17 00:00:00,6.14,,,
2020-10-24 00:00:00,5.55,,,
2020-10-31 00:00:00,5.12,,,
2020-11-07 00:00:00,4.74,,,
2020-11-14 00:00:00,4.75,,,
2020-11-21 00:00:00,4.38,,,
2020-11-28 00:00:00,4.35,,,
2020-12-05 00:00:00,4.17,,,
2020-12-12 00:00:00,3.99,,,
2020-12-19 00:00:00,4.12,,,
2020-12-26 00:00:00,4.27,,,
2021-01-02 00:00:00,5.09,,,
2021-01-09 00:00:00,4.99,,,
2021-01-16 00:00:00,4.88,,,
2021-01-23 00:00:00,5.08,,,
2021-01-30 00:00:00,5.13,,,
2021-02-06 00:00:00,5.04,,,
2021-02-13 00:00:00,4.87,,,
2021-02-20 00:00:00,4.93,,,
2021-02-27 00:00:00,4.73,,,
2021-03-06 00:00:00,4.88,,,
2021-03-13 00:00:00,4.36,,,
2021-03-20 00:00:00,4.09,,,
2021-03-27 00:00:00,4.08,,,
2021-04-03 00:00:00,4.38,,,
2021-04-10 00:00:00,4.6,,,
2021-04-17 00:00:00,4.31,,,
2021-04-24 00:00:00,4.24,,,
2021-05-01 00:00:00,4.06,,,
2021-05-08 00:00:00,3.92,,,
2021-05-15 00:00:00,3.76,,,
2021-05-22 00:00:00,3.69,,,
2021-05-29 00:00:00,3.62,,,
2021-06-05 00:00:00,3.55,,,
2021-06-12 00:00:00,3.42,,,
2021-06-19 00:00:00,3.41,,,
2021-06-26 00:00:00,3.34,,,
2021-07-03 00:00:00,3.56,,,
2021-07-10 00:00:00,3.45,3.45,3.45,3.45
2021-07-17 00:00:00,,8.375560138105245,11.392972093230584,5.358148182979905
2021-07-24 00:00:00,,9.179601224325225,13.239113828265422,5.120088620385028
2021-07-31 00:00:00,,7.844737781172073,12.728845709562407,2.9606298527817403
2021-08-07 00:00:00,,7.278550327389304,12.86687547279569,1.6902251819829184
2021-08-14 00:00:00,,7.0875378763897245,13.300769370982316,0.8743063817971324
2021-08-21 00:00:00,,6.955393935283849,13.736183954154312,0.17460391641338724
2021-08-28 00:00:00,,7.103224200936577,14.407605143537344,'-0.20115674166419062
2021-09-04 00:00:00,,5.93187481995747,13.72474647482548,'-1.8609968349105408
2021-09-11 00:00:00,,6.057964205084414,14.31046178483936,'-2.1945333746705327
2021-09-18 00:00:00,,3.5158300148988815,12.203671172429173,'-5.17201114263141
2021-09-25 00:00:00,,2.494429140259027,11.59681628062464,'-6.607958000106586
2021-10-02 00:00:00,,0.19370852025066293,9.692567363696504,'-9.305150323195178
2021-10-09 00:00:00,,'-0.9087144589099376,8.97071806539657,'-10.788146983216444
2021-10-16 00:00:00,,'-1.2655952220626843,8.980284665821092,'-11.51147510994646
2021-10-23 00:00:00,,'-1.8403612828454143,8.759304860555387,'-12.440027426246216
2021-10-30 00:00:00,,'-2.261106786852681,8.68091268060273,'-13.203126254308092
2021-11-06 00:00:00,,'-2.646739177490094,8.62724227099514,'-13.920720625975328
2021-11-13 00:00:00,,'-2.638343093328983,8.958101421064436,'-14.234787607722401
2021-11-20 00:00:00,,'-3.000193728995712,8.909986498440865,'-14.910373956432291
2021-11-27 00:00:00,,'-3.0406588443375346,9.175202186495994,'-15.256519875171065
2021-12-04 00:00:00,,'-3.161575087750414,9.352502121506895,'-15.675652297007723
2021-12-11 00:00:00,,'-3.2637275347174413,9.541622756230058,'-16.06907782566494
2021-12-18 00:00:00,,'-3.091475824110151,9.998667939366442,'-16.181619587586745
2021-12-25 00:00:00,,'-2.84583270556636,10.523039027796226,'-16.214704438928948
2022-01-01 00:00:00,,'-2.049453207011011,11.592452785104504,'-15.691359199126525
2022-01-08 00:00:00,,'-2.0394335765327165,11.870148256589843,'-15.949015409655278
